"“ерминал";"ƒень недели";"ƒата";"¬алюта";"1€ кассета: номинал";"1€ кассета: количество";"1€ кассета: статус";"2€ кассета: номинал";"2€ кассета: количество";"2€ кассета: статус";"3€ кассета: номинал";"3€ кассета: количество";"3€ кассета: статус";"4€ кассета: номинал";"4€ кассета: количество";"4€ кассета: статус";"кол-во банкнот в сбросовой кассете";"сумма в банкомате на начало суток";"сумма выданых наличных за сутки"
"000002";"4";"19.02.2015";"BYR";"50000";"1677";"1";"100000";"1504";"1";"200000";"1326";"1";"0";"0";"0";"3";"499450000";"70650000"
"000002";"4";"19.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"20.02.2015";"BYR";"50000";"1512";"1";"100000";"1312";"1";"200000";"1051";"1";"0";"0";"0";"3";"417000000";"130200000"
"000002";"5";"20.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"6";"21.02.2015";"BYR";"50000";"1232";"1";"100000";"972";"1";"200000";"640";"1";"0";"0";"0";"3";"286800000";"135000000"
"000002";"6";"21.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"7";"22.02.2015";"BYR";"50000";"974";"1";"100000";"635";"1";"200000";"198";"1";"0";"0";"0";"3";"151800000";"0"
"000002";"7";"22.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"1";"23.02.2015";"BYR";"50000";"818";"1";"100000";"434";"1";"200000";"0";"0";"0";"0";"0";"9";"84300000";"78450000"
"000002";"1";"23.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"9";"0";"0"
"000002";"2";"24.02.2015";"BYR";"50000";"2346";"1";"100000";"2330";"1";"200000";"2313";"1";"0";"0";"0";"3";"812900000";"84700000"
"000002";"2";"24.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"25.02.2015";"BYR";"50000";"2184";"1";"100000";"2126";"1";"200000";"2032";"1";"0";"0";"0";"3";"728200000";"159900000"
"000002";"3";"25.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"4";"26.02.2015";"BYR";"50000";"1846";"1";"100000";"1724";"1";"200000";"1518";"1";"0";"0";"0";"3";"568300000";"12600000"
"000002";"4";"26.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"27.02.2015";"BYR";"50000";"1820";"1";"100000";"1689";"1";"200000";"1479";"1";"0";"0";"0";"3";"555700000";"234300000"
"000002";"5";"27.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"6";"28.02.2015";"BYR";"50000";"1338";"1";"100000";"1095";"1";"200000";"725";"1";"0";"0";"0";"20";"321400000";"1000000"
"000002";"6";"28.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"20";"0";"0"
"000002";"7";"01.03.2015";"BYR";"50000";"1336";"1";"100000";"1092";"1";"200000";"722";"1";"0";"0";"0";"20";"320400000";"0"
"000002";"7";"01.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"20";"0";"0"
"000002";"1";"02.03.2015";"BYR";"50000";"1336";"1";"100000";"1092";"1";"200000";"722";"1";"0";"0";"0";"20";"320400000";"72300000"
"000002";"1";"02.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"20";"0";"0"
"000002";"2";"03.03.2015";"BYR";"50000";"1186";"1";"100000";"908";"1";"200000";"490";"1";"0";"0";"0";"20";"248100000";"77250000"
"000002";"2";"03.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"20";"0";"0"
"000002";"3";"04.03.2015";"BYR";"50000";"1059";"1";"100000";"717";"1";"200000";"231";"1";"0";"0";"0";"20";"170850000";"64350000"
"000002";"3";"04.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"20";"0";"100"
"000002";"4";"05.03.2015";"BYR";"50000";"2286";"1";"100000";"2209";"1";"200000";"2400";"0";"0";"0";"0";"10";"815200000";"60450000"
"000002";"4";"05.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"197";"1";"10";"9850";"500"
"000002";"5";"06.03.2015";"BYR";"50000";"1975";"1";"100000";"1760";"1";"200000";"2400";"0";"0";"0";"0";"10";"754750000";"274550000"
"000002";"5";"06.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"187";"1";"10";"9350";"1350"
"000002";"6";"07.03.2015";"BYR";"50000";"712";"1";"100000";"120";"1";"200000";"1587";"1";"0";"0";"0";"0";"365000000";"0"
"000002";"6";"07.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"156";"1";"0";"7800";"0"
"000002";"7";"08.03.2015";"BYR";"50000";"712";"1";"100000";"120";"1";"200000";"1587";"1";"0";"0";"0";"0";"365000000";"0"
